Rank,Author(s),Entry #,Average,Margot,Deeke,Major Flare,Max-Min
1,Segment1Zone2,11,92.33,92,93,92,1
2,edgar,1,92.00,93,90,93,3
3,Zavok & Dispace,13,91.00,81,95,97,16
4,MM102,20,90.00,90,95,85,10
5,Rouge,16,89.67,77,96,96,19
6,Idunno,10,88.67,85,90,91,6
7,Morph_Moth,7,88.33,79,92,94,15
8,Burning Loaf,19,85.33,94,90,72,22
9,mariofan_171,17,84.33,79,80,94,15
10,Sixcorby,14,83.67,89,80,82,9
11,Alex,18,83.33,84,86,80,6
12,Lazy,12,82.00,84,84,78,6
13,wye,2,81.00,80,85,78,7
14,DanMario24YT,6,77.00,82,86,63,23
15,Green_Jerry,4,75.33,83,69,74,14
16,OrangeBronzeDaisy,8,74.00,70,72,80,10
17,MarioFanGamer,3,66.00,81,61,56,25
18,Hayashi_Neru,15,65.00,78,52,65,26
19,icrawfish,9,54.67,55,59,50,9
20,karls_Corinthia,5,39.67,50,34,35,16
